price,stock,orders,rating,label
378.12,1,64,3.0,RESTOCK
492.88,4,148,4.7,RESTOCK
320.09,112,193,4.3,BEST_SELLER
106.88,2,147,2.7,RESTOCK
126.76,104,109,4.3,BEST_SELLER
253.83,5,1,2.4,UNDERPERFORMING
391.39,40,129,4.8,BEST_SELLER
335.36,62,4,4.0,UNDERPERFORMING
300.38,30,4,4.7,UNDERPERFORMING
260.3,6,142,4.9,RESTOCK
78.23,56,9,3.1,UNDERPERFORMING
345.93,80,5,2.6,UNDERPERFORMING
217.05,11,6,4.5,UNDERPERFORMING
58.58,91,2,2.1,UNDERPERFORMING
179.9,3,124,4.5,RESTOCK
171.38,4,125,4.5,RESTOCK
100.0,7,51,4.4,RESTOCK
275.91,0,97,3.5,RESTOCK
28.48,48,97,4.9,BEST_SELLER
373.88,92,176,4.5,BEST_SELLER
190.13,90,100,4.5,BEST_SELLER
117.18,72,186,4.2,BEST_SELLER
49.74,59,158,5.0,BEST_SELLER
145.98,7,124,3.9,RESTOCK
213.06,104,133,4.0,BEST_SELLER
226.07,48,93,4.7,BEST_SELLER
236.61,61,122,4.6,BEST_SELLER
229.82,7,1,1.8,UNDERPERFORMING
349.58,42,15,2.9,NORMAL
463.75,8,142,3.2,RESTOCK
464.2,72,2,1.2,UNDERPERFORMING
497.44,6,134,4.7,RESTOCK
281.0,76,7,4.3,UNDERPERFORMING
91.4,12,7,3.0,UNDERPERFORMING
210.55,116,183,4.5,BEST_SELLER
89.32,8,147,3.5,RESTOCK
53.52,81,126,4.1,BEST_SELLER
21.24,42,2,1.8,UNDERPERFORMING
404.38,81,17,1.5,NORMAL
430.54,0,6,2.5,UNDERPERFORMING
389.01,67,140,4.2,BEST_SELLER
141.44,21,16,1.8,NORMAL
183.6,1,51,3.4,RESTOCK
170.51,24,1,2.8,UNDERPERFORMING
131.28,3,105,3.0,RESTOCK
63.65,105,2,2.1,UNDERPERFORMING
414.37,48,6,3.9,UNDERPERFORMING
164.62,110,6,4.8,UNDERPERFORMING
257.25,103,93,4.1,BEST_SELLER
363.1,100,8,3.5,UNDERPERFORMING
436.69,25,6,1.5,UNDERPERFORMING
280.76,95,150,4.2,BEST_SELLER
111.88,5,94,4.3,RESTOCK
492.38,59,27,1.3,NORMAL
388.06,46,37,1.1,NORMAL
32.33,4,72,4.6,RESTOCK
208.48,91,188,4.4,BEST_SELLER
172.6,87,4,4.5,UNDERPERFORMING
225.88,70,128,4.7,BEST_SELLER
468.65,7,53,2.3,RESTOCK
342.58,70,122,4.9,BEST_SELLER
12.85,58,114,4.7,BEST_SELLER
57.44,91,2,4.4,UNDERPERFORMING
237.22,23,6,1.5,UNDERPERFORMING
63.16,2,38,4.5,RESTOCK
363.39,63,8,1.3,UNDERPERFORMING
264.09,64,74,4.5,NORMAL
245.34,110,198,4.4,BEST_SELLER
181.62,42,95,4.1,BEST_SELLER
95.99,108,1,1.2,UNDERPERFORMING
19.03,37,62,4.7,NORMAL
81.44,2,54,2.9,RESTOCK
455.35,109,7,1.2,UNDERPERFORMING
366.06,110,7,3.7,UNDERPERFORMING
145.13,55,83,4.2,BEST_SELLER
53.71,58,183,4.0,BEST_SELLER
323.37,114,6,2.1,UNDERPERFORMING
239.18,98,101,4.9,BEST_SELLER
465.97,36,1,5.0,UNDERPERFORMING
320.95,72,46,4.4,NORMAL
352.19,7,144,3.8,RESTOCK
438.27,111,1,4.1,UNDERPERFORMING
433.97,2,119,4.7,RESTOCK
117.79,1,121,3.7,RESTOCK
147.01,3,60,2.8,RESTOCK
179.09,29,59,4.2,NORMAL
229.12,115,16,3.9,NORMAL
73.47,109,172,4.9,BEST_SELLER
165.58,64,7,4.8,UNDERPERFORMING
392.54,1,56,4.8,RESTOCK
79.91,53,152,4.9,BEST_SELLER
456.66,2,94,3.9,RESTOCK
219.33,65,4,2.0,UNDERPERFORMING
207.29,4,82,3.9,RESTOCK
395.63,82,29,3.8,NORMAL
328.02,103,1,2.2,UNDERPERFORMING
262.78,30,34,4.3,NORMAL
397.55,17,53,2.2,NORMAL
151.11,115,91,4.1,BEST_SELLER
478.15,116,9,4.0,UNDERPERFORMING
233.6,2,109,3.7,RESTOCK
212.91,43,176,4.3,BEST_SELLER
328.6,12,3,3.6,UNDERPERFORMING
379.68,69,76,4.6,NORMAL
497.53,99,0,2.5,UNDERPERFORMING
265.75,3,107,4.6,RESTOCK
317.49,64,6,3.6,UNDERPERFORMING
273.56,36,63,2.7,NORMAL
453.37,9,90,4.3,RESTOCK
295.82,22,6,2.7,UNDERPERFORMING
170.11,4,70,2.4,RESTOCK
390.78,52,30,4.2,NORMAL
348.79,58,35,1.6,NORMAL
80.56,40,188,4.1,BEST_SELLER
455.49,107,22,2.6,NORMAL
361.63,90,51,3.0,NORMAL
340.47,9,127,2.7,RESTOCK
230.65,76,164,4.7,BEST_SELLER
364.73,47,150,4.9,BEST_SELLER
81.21,0,81,3.9,RESTOCK
127.73,81,9,4.2,UNDERPERFORMING
162.24,105,15,1.6,NORMAL
428.92,8,40,4.3,RESTOCK
471.97,6,46,4.4,RESTOCK
209.97,113,132,4.0,BEST_SELLER
17.08,20,151,4.2,BEST_SELLER
112.36,15,192,4.2,BEST_SELLER
124.96,47,172,4.9,BEST_SELLER
238.01,55,96,4.9,BEST_SELLER
105.33,71,58,3.2,NORMAL
67.65,84,7,3.0,UNDERPERFORMING
30.62,34,4,4.5,UNDERPERFORMING
69.4,67,163,4.5,BEST_SELLER
294.87,20,7,2.5,UNDERPERFORMING
283.68,70,59,4.0,NORMAL
422.44,9,147,4.2,RESTOCK
486.81,45,67,4.4,NORMAL
485.25,1,138,4.9,RESTOCK
148.47,3,96,3.9,RESTOCK
155.38,7,135,2.1,RESTOCK
