project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
house,0,206.0,5,rural,0,premium,2,1.7,157040,27,26,2.8,summer,2,0.1,0.091,LOW,0
renovation,1,437.1,4,rural,0,basic,0,1.6,131923,59,15,14.6,winter,0,0.8,0.146,LOW,0
house,0,115.5,5,urban,2,standard,1,3.5,124272,114,18,0.8,winter,0,0.8,0.335,LOW,0
house,0,51.9,4,rural,0,basic,0,2.5,93934,53,5,9.5,spring,1,0.1,0.0,LOW,1
house,0,249.4,5,urban,2,basic,0,3.4,38252,45,32,0.7,autumn,3,0.3,0.368,MEDIUM,1
renovation,1,211.1,2,suburban,1,premium,2,1.4,138425,117,12,10.4,summer,2,0.1,0.082,LOW,1
house,0,111.5,1,rural,0,premium,2,2.0,134192,8,32,6.7,autumn,3,0.3,0.522,MEDIUM,1
commercial,2,44.7,2,suburban,1,basic,0,4.1,188202,68,9,13.9,spring,1,0.1,0.205,LOW,0
commercial,2,298.1,4,rural,0,basic,0,1.2,68439,86,14,11.3,autumn,3,0.3,0.038,LOW,0
house,0,483.7,4,suburban,1,standard,1,3.2,32480,21,77,2.9,summer,2,0.1,0.713,HIGH,1
house,0,229.0,1,urban,2,standard,1,1.8,6077,17,43,3.4,winter,0,0.8,0.972,HIGH,1
landscaping,3,401.4,3,rural,0,premium,2,1.3,74901,47,16,13.8,summer,2,0.1,0.13,LOW,0
commercial,2,74.8,7,urban,2,basic,0,2.2,68411,105,5,9.1,winter,0,0.8,0.085,LOW,0
house,0,210.0,7,urban,2,basic,0,3.9,153353,96,22,3.9,summer,2,0.1,0.161,LOW,0
house,0,364.0,2,rural,0,basic,0,1.1,26039,69,19,13.5,autumn,3,0.3,0.125,LOW,0
commercial,2,356.9,5,suburban,1,premium,2,2.0,85025,49,51,3.4,summer,2,0.1,0.249,LOW,0
renovation,1,356.5,4,suburban,1,standard,1,4.7,162583,63,60,2.0,spring,1,0.1,0.251,LOW,0
commercial,2,225.8,6,urban,2,premium,2,3.2,162451,98,36,5.7,winter,0,0.8,0.261,LOW,0
renovation,1,334.4,1,urban,2,premium,2,4.3,172842,109,134,2.9,spring,1,0.1,0.617,HIGH,1
renovation,1,257.9,1,suburban,1,standard,1,1.5,70835,85,30,2.9,summer,2,0.1,0.154,LOW,0
renovation,1,219.8,6,urban,2,standard,1,4.9,192677,45,19,7.7,winter,0,0.8,0.19,LOW,0
renovation,1,47.3,1,rural,0,standard,1,4.9,85152,93,20,4.5,autumn,3,0.3,0.462,MEDIUM,0
commercial,2,98.1,4,rural,0,basic,0,2.8,112814,74,17,1.7,summer,2,0.1,0.184,LOW,0
renovation,1,407.5,5,urban,2,standard,1,3.5,128538,17,27,12.3,autumn,3,0.3,0.54,MEDIUM,0
landscaping,3,268.9,5,rural,0,standard,1,4.4,68562,42,37,0.7,spring,1,0.1,0.362,MEDIUM,0
renovation,1,333.2,4,urban,2,premium,2,4.8,82527,45,43,14.1,summer,2,0.1,0.138,LOW,0
landscaping,3,83.3,7,urban,2,standard,1,3.2,140678,13,5,10.1,summer,2,0.1,0.173,LOW,0
renovation,1,278.9,2,rural,0,premium,2,5.0,193257,75,71,13.6,autumn,3,0.3,0.257,LOW,0
house,0,194.1,3,rural,0,basic,0,4.4,83879,39,33,9.8,spring,1,0.1,0.077,LOW,0
renovation,1,452.3,4,urban,2,standard,1,3.3,77595,95,31,10.1,winter,0,0.8,0.031,LOW,0
landscaping,3,287.9,6,suburban,1,premium,2,2.8,198919,106,15,10.8,autumn,3,0.3,0.027,LOW,0
commercial,2,380.9,7,urban,2,basic,0,3.9,65072,54,58,1.9,winter,0,0.8,0.354,MEDIUM,0
commercial,2,144.7,6,urban,2,standard,1,4.9,99915,14,24,9.7,winter,0,0.8,0.689,HIGH,1
commercial,2,266.2,4,suburban,1,basic,0,3.7,173513,67,34,7.7,autumn,3,0.3,0.094,LOW,0
house,0,50.5,4,urban,2,premium,2,4.8,191016,12,11,5.9,summer,2,0.1,0.113,LOW,1
renovation,1,231.2,5,urban,2,basic,0,3.3,196165,69,14,4.9,summer,2,0.1,0.098,LOW,0
renovation,1,258.1,2,rural,0,standard,1,3.2,187550,64,33,14.0,spring,1,0.1,0.0,LOW,0
house,0,345.4,7,urban,2,standard,1,1.6,106074,8,16,5.2,autumn,3,0.3,0.55,MEDIUM,0
house,0,363.2,7,rural,0,standard,1,2.2,162825,105,35,4.2,summer,2,0.1,0.182,LOW,0
renovation,1,32.4,4,rural,0,basic,0,4.2,131743,116,5,12.0,winter,0,0.8,0.308,LOW,0
house,0,206.5,2,urban,2,standard,1,2.8,136045,57,25,7.3,winter,0,0.8,0.089,LOW,0
renovation,1,307.7,6,rural,0,premium,2,2.0,12573,21,22,5.7,autumn,3,0.3,0.255,LOW,0
renovation,1,391.9,4,suburban,1,premium,2,4.9,94167,12,92,1.2,autumn,3,0.3,0.836,HIGH,1
renovation,1,284.1,7,urban,2,premium,2,1.6,30885,112,11,5.2,spring,1,0.1,0.169,LOW,0
commercial,2,236.3,7,suburban,1,premium,2,2.0,40945,68,21,12.6,summer,2,0.1,0.149,LOW,0
