project_type,size_sqm,num_workers,location,materials,complexity,duration_days,project_type_encoded,location_encoded,materials_encoded
commercial,629.5,7,urban,premium,2,109,0,2,1
commercial,97.8,8,rural,premium,3,19,0,0,1
renovation,87.0,2,urban,standard,4,10,3,2,2
house,20.0,1,urban,standard,3,6,1,2,2
commercial,449.8,3,rural,standard,4,134,0,0,2
commercial,583.4,9,urban,premium,2,82,0,2,1
landscaping,152.0,5,urban,standard,2,7,2,2,2
landscaping,290.4,3,rural,premium,1,22,2,0,1
landscaping,89.8,4,suburban,standard,5,6,2,1,2
commercial,64.3,4,suburban,standard,4,12,0,1,2
house,76.1,5,suburban,basic,2,7,1,1,0
house,107.8,9,urban,basic,1,5,1,2,0
landscaping,246.6,3,urban,premium,3,22,2,2,1
house,160.6,7,rural,basic,1,14,1,0,0
landscaping,185.8,8,suburban,basic,5,8,2,1,0
commercial,91.1,3,suburban,premium,1,21,0,1,1
house,148.2,9,suburban,premium,2,19,1,1,1
renovation,82.6,4,urban,premium,5,9,3,2,1
landscaping,157.2,4,suburban,basic,5,8,2,1,0
landscaping,256.4,10,rural,premium,5,20,2,0,1
renovation,87.7,4,urban,basic,3,6,3,2,0
landscaping,175.3,1,suburban,premium,1,20,2,1,1
house,106.5,9,rural,standard,5,15,1,0,2
house,172.6,6,rural,standard,1,16,1,0,2
landscaping,198.5,1,urban,standard,5,20,2,2,2
house,153.0,6,urban,premium,5,38,1,2,1
landscaping,154.0,10,urban,basic,4,5,2,2,0
commercial,645.6,5,rural,premium,4,180,0,0,1
renovation,53.6,1,suburban,standard,1,6,3,1,2
landscaping,263.2,4,rural,standard,3,19,2,0,2
renovation,99.5,4,rural,premium,1,7,3,0,1
house,174.1,9,rural,standard,1,15,1,0,2
renovation,69.3,10,rural,premium,1,4,3,0,1
landscaping,280.0,7,urban,standard,1,8,2,2,2
house,176.1,8,rural,premium,1,20,1,0,1
landscaping,223.4,2,rural,basic,2,15,2,0,0
renovation,44.3,1,suburban,premium,4,11,3,1,1
house,126.9,8,suburban,basic,3,10,1,1,0
house,81.5,6,urban,premium,5,13,1,2,1
commercial,112.7,1,suburban,premium,4,56,0,1,1
commercial,499.1,4,urban,basic,3,59,0,2,0
landscaping,199.1,5,urban,basic,3,8,2,2,0
landscaping,190.1,5,urban,basic,3,9,2,2,0
landscaping,124.0,1,urban,premium,3,15,2,2,1
landscaping,287.7,3,suburban,basic,2,14,2,1,0
landscaping,95.5,10,rural,standard,2,3,2,0,2
renovation,92.6,7,urban,basic,5,5,3,2,0
renovation,89.1,10,rural,standard,1,4,3,0,2
landscaping,186.8,3,urban,basic,4,10,2,2,0
renovation,44.0,10,suburban,premium,5,4,3,1,1
renovation,65.8,5,suburban,standard,1,4,3,1,2
landscaping,296.8,4,urban,basic,3,13,2,2,0
commercial,95.0,1,urban,standard,3,33,0,2,2
landscaping,141.4,7,suburban,premium,1,5,2,1,1
landscaping,173.3,2,urban,basic,1,7,2,2,0
landscaping,221.7,5,urban,basic,5,16,2,2,0
commercial,753.4,9,rural,standard,5,135,0,0,2
renovation,72.9,10,urban,premium,2,4,3,2,1
landscaping,161.5,5,urban,premium,2,6,2,2,1
renovation,70.3,10,suburban,basic,2,3,3,1,0
commercial,886.7,8,suburban,basic,2,96,0,1,0
house,98.3,3,rural,standard,3,20,1,0,2
house,164.0,1,rural,basic,2,39,1,0,0
landscaping,110.0,3,urban,standard,1,5,2,2,2
commercial,605.9,8,suburban,basic,4,82,0,1,0
house,108.6,9,urban,basic,3,8,1,2,0
house,174.6,7,rural,standard,5,23,1,0,2
landscaping,266.0,9,urban,premium,1,9,2,2,1
house,184.1,1,suburban,basic,4,52,1,1,0
landscaping,167.1,4,urban,basic,3,9,2,2,0
renovation,86.1,4,rural,basic,3,6,3,0,0
house,132.9,5,urban,premium,2,17,1,2,1
renovation,20.0,7,rural,standard,5,2,3,0,2
commercial,518.0,6,rural,standard,5,128,0,0,2
landscaping,244.7,5,suburban,basic,5,17,2,1,0
house,203.0,6,suburban,premium,4,37,1,1,1
house,114.1,6,rural,premium,3,20,1,0,1
renovation,79.4,2,suburban,premium,4,11,3,1,1
renovation,96.6,3,suburban,basic,5,11,3,1,0
landscaping,84.4,8,suburban,basic,1,2,2,1,0
renovation,23.1,6,urban,standard,5,2,3,2,2
commercial,405.6,9,urban,premium,1,42,0,2,1
renovation,123.1,10,rural,premium,4,10,3,0,1
landscaping,187.4,10,urban,standard,4,6,2,2,2
renovation,70.3,1,urban,basic,1,4,3,2,0
house,105.1,3,urban,basic,5,20,1,2,0
renovation,102.3,2,suburban,premium,2,15,3,1,1
landscaping,101.5,8,suburban,standard,1,3,2,1,2
renovation,28.6,6,urban,standard,3,2,3,2,2
commercial,543.7,5,urban,basic,5,91,0,2,0
renovation,127.9,10,rural,basic,2,6,3,0,0
commercial,286.5,3,urban,basic,5,66,0,2,0
house,203.0,8,suburban,basic,2,19,1,1,0
renovation,83.4,1,suburban,standard,4,18,3,1,2
house,170.7,7,suburban,standard,5,29,1,1,2
house,160.2,2,suburban,standard,2,27,1,1,2
renovation,106.6,4,suburban,premium,1,7,3,1,1
renovation,128.9,3,urban,premium,1,7,3,2,1
house,149.3,4,urban,standard,5,28,1,2,2
renovation,45.6,3,suburban,basic,1,2,3,1,0
commercial,822.4,4,rural,premium,4,248,0,0,1
landscaping,203.5,2,urban,premium,5,29,2,2,1
renovation,64.9,10,rural,premium,5,7,3,0,1
