project_type,surface_area,materials,location,complexity,estimated_cost,project_type_encoded,materials_encoded,location_encoded
commercial,629.5,basic,rural,2,835682,0,0,0
commercial,97.8,premium,rural,3,218706,0,1,0
renovation,87.0,basic,suburban,2,67599,3,0,1
landscaping,324.2,basic,urban,4,65437,2,0,2
house,99.4,basic,rural,4,125928,1,0,0
landscaping,322.2,premium,suburban,4,99948,2,1,1
commercial,583.4,basic,rural,1,606690,0,0,0
commercial,379.9,standard,urban,4,1150630,0,2,2
landscaping,413.0,premium,rural,3,100768,2,1,0
renovation,42.0,basic,suburban,2,35818,3,0,1
landscaping,373.8,standard,urban,4,118639,2,2,2
house,76.1,standard,urban,5,198239,1,2,2
landscaping,334.4,standard,urban,1,53705,2,2,2
house,116.2,premium,urban,3,376876,1,1,2
commercial,595.2,basic,rural,2,775070,0,0,0
commercial,320.7,standard,urban,5,1113165,0,2,2
commercial,91.1,standard,rural,3,169445,0,2,0
house,111.0,basic,suburban,3,136613,1,0,1
house,142.5,premium,rural,3,242193,1,1,0
commercial,518.4,premium,urban,5,2040912,0,1,2
commercial,216.3,premium,urban,5,1083032,0,1,2
landscaping,370.5,premium,rural,2,77388,2,1,0
house,144.7,standard,urban,4,326751,1,2,2
landscaping,437.2,standard,suburban,4,106767,2,2,1
house,137.2,premium,suburban,1,221967,1,1,1
landscaping,213.0,basic,urban,3,44156,2,0,2
house,95.2,standard,urban,3,226907,1,2,2
renovation,79.5,basic,urban,4,105588,3,0,2
renovation,57.3,premium,suburban,1,67053,3,1,1
commercial,368.2,basic,suburban,5,795546,0,0,1
landscaping,242.5,basic,urban,4,57984,2,0,2
renovation,114.3,standard,rural,3,110099,3,2,0
house,220.1,premium,suburban,3,445185,1,1,1
commercial,301.9,basic,urban,5,799709,0,0,2
commercial,677.5,premium,rural,4,1931392,0,1,0
landscaping,208.1,premium,urban,2,78724,2,1,2
landscaping,221.7,basic,rural,2,24714,2,0,0
commercial,502.6,premium,suburban,1,1095347,0,1,1
renovation,36.8,basic,suburban,3,36898,3,0,1
commercial,623.5,premium,suburban,3,2056283,0,1,1
house,158.7,standard,suburban,3,234234,1,2,1
landscaping,167.0,basic,urban,3,36379,2,0,2
house,81.5,basic,rural,5,103979,1,0,0
commercial,112.7,standard,rural,1,123808,0,2,0
landscaping,362.6,premium,urban,3,126695,2,1,2
landscaping,121.7,premium,urban,3,45373,2,1,2
landscaping,287.6,basic,urban,5,86733,2,0,2
commercial,456.5,premium,urban,1,1187039,0,1,2
landscaping,371.0,premium,suburban,2,94359,2,1,1
commercial,511.6,standard,suburban,2,815693,0,2,1
renovation,92.6,basic,urban,5,128523,3,0,2
renovation,89.1,premium,suburban,5,184315,3,1,1
landscaping,443.7,standard,rural,1,53287,2,2,0
landscaping,268.5,standard,suburban,4,69324,2,2,1
renovation,44.0,standard,rural,2,37848,3,2,0
commercial,530.0,standard,urban,1,1047997,0,2,2
landscaping,335.4,standard,suburban,5,73539,2,2,1
house,210.5,basic,urban,4,414009,1,0,2
renovation,120.9,premium,rural,5,211153,3,1,0
renovation,76.8,standard,suburban,3,81817,3,2,1
landscaping,226.7,standard,rural,1,25634,2,2,0
landscaping,266.6,basic,urban,2,48317,2,0,2
landscaping,394.5,standard,suburban,5,120016,2,2,1
house,110.6,basic,rural,5,182337,1,0,0
commercial,753.4,premium,suburban,1,1470142,0,1,1
house,136.0,standard,urban,4,318877,1,2,2
house,20.0,standard,suburban,1,21541,1,2,1
renovation,129.0,standard,urban,5,206907,3,2,2
landscaping,618.7,standard,rural,5,134765,2,2,0
landscaping,307.0,premium,suburban,3,86775,2,1,1
landscaping,238.5,standard,rural,3,48525,2,2,0
commercial,600.3,basic,rural,3,892354,0,0,0
landscaping,245.5,basic,urban,5,60199,2,0,2
commercial,746.0,standard,rural,5,1403377,0,2,0
renovation,42.9,standard,suburban,4,50329,3,2,1
renovation,107.0,basic,suburban,4,112922,3,0,1
house,108.6,basic,urban,1,127882,1,0,2
landscaping,238.5,premium,urban,1,67596,2,1,2
commercial,193.2,premium,suburban,5,756760,0,1,1
commercial,761.1,basic,rural,5,1317936,0,0,0
commercial,417.7,premium,urban,4,2004251,0,1,2
renovation,54.4,premium,rural,5,87615,3,1,0
commercial,431.5,basic,rural,5,764190,0,0,0
renovation,89.7,standard,rural,3,93873,3,2,0
renovation,98.4,premium,urban,5,292950,3,1,2
renovation,67.0,premium,suburban,2,91885,3,1,1
commercial,730.9,standard,suburban,1,1043971,0,2,1
house,33.0,standard,rural,3,42819,1,2,0
renovation,79.4,standard,rural,5,82329,3,2,0
renovation,105.6,standard,suburban,1,90935,3,2,1
commercial,598.5,basic,rural,4,927524,0,0,0
house,161.2,basic,urban,5,362586,1,0,2
landscaping,302.5,premium,rural,1,53342,2,1,0
house,257.7,standard,rural,3,319721,1,2,0
landscaping,285.7,premium,urban,4,117287,2,1,2
house,82.4,standard,suburban,4,149333,1,2,1
landscaping,267.7,basic,urban,1,34824,2,0,2
house,178.6,basic,urban,5,440065,1,0,2
house,187.1,standard,rural,2,247365,1,2,0
renovation,43.0,standard,suburban,1,35091,3,2,1
renovation,28.6,basic,suburban,3,29101,3,0,1
commercial,543.7,basic,urban,5,1452857,0,0,2
commercial,533.3,basic,suburban,5,1244920,0,0,1
house,82.5,standard,suburban,1,92651,1,2,1
renovation,53.8,basic,rural,1,25715,3,0,0
house,166.6,standard,rural,2,177575,1,2,0
renovation,115.4,standard,rural,4,118946,3,2,0
house,170.7,standard,suburban,5,418161,1,2,1
house,160.2,standard,suburban,2,231767,1,2,1
renovation,53.9,standard,suburban,2,52388,3,2,1
landscaping,386.6,basic,suburban,2,55095,2,0,1
commercial,461.1,basic,urban,1,821375,0,0,2
renovation,79.8,basic,urban,5,124348,3,0,2
renovation,76.3,premium,rural,1,67861,3,1,0
commercial,822.4,premium,rural,4,2030796,0,1,0
landscaping,304.4,basic,rural,2,38828,2,0,0
house,109.2,standard,rural,5,178190,1,2,0
renovation,37.0,basic,urban,2,36211,3,0,2
house,144.9,standard,suburban,1,174616,1,2,1
commercial,670.3,basic,suburban,1,754428,0,0,1
commercial,659.9,basic,rural,2,765495,0,0,0
landscaping,464.5,premium,suburban,3,133161,2,1,1
landscaping,386.7,premium,rural,3,95232,2,1,0
commercial,804.8,basic,suburban,1,728459,0,0,1
commercial,737.9,basic,suburban,2,1086337,0,0,1
renovation,69.5,basic,urban,2,54748,3,0,2
commercial,1014.7,basic,urban,2,1780924,0,0,2
commercial,195.4,basic,rural,4,266022,0,0,0
renovation,38.0,standard,rural,5,46293,3,2,0
renovation,115.7,standard,rural,1,73719,3,2,0
commercial,659.5,premium,rural,1,1124043,0,1,0
renovation,97.0,standard,rural,3,94132,3,2,0
landscaping,256.9,standard,rural,2,38826,2,2,0
renovation,86.5,premium,urban,1,147427,3,1,2
renovation,45.8,standard,suburban,4,60227,3,2,1
house,142.6,premium,rural,2,220572,1,1,0
house,119.9,premium,suburban,5,390148,1,1,1
house,113.8,basic,urban,3,247296,1,0,2
renovation,93.5,premium,urban,2,173965,3,1,2
renovation,82.6,basic,rural,4,66611,3,0,0
landscaping,240.5,basic,rural,3,34232,2,0,0
house,182.7,basic,urban,4,317661,1,0,2
house,210.1,basic,suburban,3,270801,1,0,1
house,150.9,standard,urban,1,274906,1,2,2
house,191.5,basic,rural,3,160348,1,0,0
commercial,533.0,premium,suburban,2,1419681,0,1,1
landscaping,363.3,premium,rural,3,104845,2,1,0
landscaping,382.8,basic,suburban,3,70808,2,0,1
commercial,631.7,basic,suburban,5,1240501,0,0,1
commercial,517.4,standard,urban,4,1461380,0,2,2
house,99.1,premium,urban,4,449219,1,1,2
landscaping,302.7,basic,suburban,4,57338,2,0,1
landscaping,418.2,standard,rural,2,62377,2,2,0
landscaping,210.9,standard,suburban,3,33996,2,2,1
landscaping,386.8,standard,urban,3,95703,2,2,2
landscaping,221.0,basic,urban,4,57750,2,0,2
commercial,818.6,standard,urban,1,1514735,0,2,2
renovation,70.1,premium,rural,2,71849,3,1,0
renovation,156.2,standard,rural,5,189323,3,2,0
commercial,714.2,basic,urban,5,1888593,0,0,2
renovation,105.6,basic,rural,3,58110,3,0,0
renovation,118.1,standard,rural,1,69400,3,2,0
landscaping,187.5,premium,rural,1,31024,2,1,0
commercial,453.8,standard,urban,3,1325163,0,2,2
renovation,49.5,standard,suburban,4,66612,3,2,1
house,155.5,basic,suburban,1,166136,1,0,1
commercial,227.5,basic,urban,3,401826,0,0,2
renovation,37.0,standard,urban,3,61748,3,2,2
renovation,87.0,basic,suburban,4,105338,3,0,1
house,91.1,standard,suburban,1,111576,1,2,1
landscaping,285.0,basic,rural,2,34566,2,0,0
commercial,427.6,standard,suburban,4,1019150,0,2,1
landscaping,291.1,standard,rural,3,49048,2,2,0
landscaping,557.1,premium,rural,1,94994,2,1,0
commercial,528.6,basic,rural,2,668575,0,0,0
commercial,427.8,standard,suburban,5,1288990,0,2,1
renovation,97.8,basic,suburban,2,72780,3,0,1
commercial,566.1,basic,rural,2,708839,0,0,0
renovation,35.0,basic,rural,2,23981,3,0,0
commercial,651.3,premium,rural,1,939530,0,1,0
renovation,109.2,basic,rural,1,55714,3,0,0
renovation,89.2,premium,urban,5,193870,3,1,2
house,158.5,premium,urban,4,543821,1,1,2
renovation,63.8,standard,urban,3,85673,3,2,2
renovation,79.8,standard,urban,2,113060,3,2,2
house,240.5,basic,urban,5,539239,1,0,2
renovation,53.0,standard,urban,3,70196,3,2,2
landscaping,199.6,standard,urban,5,73644,2,2,2
house,169.2,standard,urban,2,241656,1,2,2
landscaping,277.5,standard,rural,4,59714,2,2,0
house,177.1,premium,rural,5,434014,1,1,0
landscaping,242.4,basic,suburban,3,41226,2,0,1
house,126.0,premium,suburban,1,260321,1,1,1
house,248.8,basic,urban,2,370769,1,0,2
house,175.0,premium,rural,4,396333,1,1,0
commercial,147.4,standard,suburban,4,394306,0,2,1
commercial,236.1,premium,urban,3,882072,0,1,2
landscaping,380.5,premium,urban,1,113534,2,1,2
renovation,71.5,basic,rural,2,44466,3,0,0
commercial,109.5,standard,rural,5,229915,0,2,0
commercial,492.1,basic,rural,4,807360,0,0,0
commercial,938.2,premium,suburban,3,2852149,0,1,1
landscaping,308.0,basic,suburban,2,48841,2,0,1
commercial,582.5,premium,rural,5,1421604,0,1,0
renovation,106.0,basic,urban,2,108860,3,0,2
landscaping,371.3,standard,suburban,3,78348,2,2,1
commercial,744.6,premium,suburban,5,2622351,0,1,1
renovation,31.8,basic,urban,1,27993,3,0,2
renovation,88.6,standard,urban,1,72938,3,2,2
renovation,24.2,basic,rural,2,14399,3,0,0
landscaping,140.9,standard,suburban,5,40456,2,2,1
renovation,72.6,premium,urban,4,154294,3,1,2
landscaping,235.1,premium,suburban,4,85344,2,1,1
renovation,78.5,premium,rural,5,135176,3,1,0
renovation,85.0,basic,rural,5,82187,3,0,0
commercial,372.5,basic,suburban,2,507852,0,0,1
house,118.1,basic,suburban,5,228401,1,0,1
renovation,122.6,premium,rural,1,103593,3,1,0
landscaping,229.5,premium,rural,1,35840,2,1,0
